state,created
unknown,"2016-12-16 19:33:22.148945"
unknown,"2016-12-16 19:48:11.516207"
0.8,"2017-01-01 17:00:30.762667"
3.0,"2017-01-01 17:30:30.779408"
1.4,"2017-01-01 18:00:30.885179"
3.5,"2017-01-01 18:30:30.735538"
0.5,"2017-01-01 19:00:30.777287"
3.5,"2017-01-01 19:30:30.785199"
0,"2017-01-01 20:00:30.763930"
2.4,"2017-01-01 20:30:30.780978"
0.8,"2017-01-01 21:00:30.792996"
3.5,"2017-01-01 21:30:30.715055"
1.4,"2017-01-01 22:00:30.747932"
2.2,"2017-01-01 22:30:30.720686"
0.8,"2017-01-01 23:01:00.665335"
2.7,"2017-01-01 23:30:30.765103"
1.1,"2017-01-02 00:00:30.754607"
2.2,"2017-01-02 00:30:30.754770"
0.8,"2017-01-02 01:00:30.769956"
3.3,"2017-01-02 01:30:30.766371"
0.0,"2017-01-02 02:00:30.647868"
3.5,"2017-01-02 02:30:30.767215"
0.3,"2017-01-02 03:01:00.660247"
